county_code,day_of_week,device_count,completely_home_device_count,part_time_work_behavior_devices,full_time_work_behavior_devices,delivery_behavior_devices,total_home_dwell_time,total_non_home_dwell_time
1043,1,7999,0.1813833701,0.1833611933,0.1177336277,0.03948982095,691.1056942,311.0833854
1043,2,7996,0.1575588353,0.188006914,0.1209354677,0.03073195613,697.8146699,327.9693597
1043,3,7843,0.154318618,0.1875557822,0.1127119725,0.037485656,685.5401196,321.7101727
1043,4,7967,0.1533827037,0.1827538597,0.1073314503,0.04863072578,636.0503702,330.8948161
1043,5,8168,0.207639569,0.1081356797,0.03026465746,0.02716143841,825.6146391,154.3950784
1043,6,8058,0.2343945851,0.1042067308,0.02752403846,0.02163461538,870.0158485,152.4672375
1045,0,3909,0.1978243352,0.1882834485,0.1105225138,0.04288649204,694.1757765,241.0601974
1045,1,3876,0.1947623239,0.192451887,0.1164708823,0.04278922345,653.2150933,281.6922085
1045,2,3986,0.1732537907,0.1902439024,0.104985492,0.02993348115,663.6781009,297.5526844
1045,3,3822,0.1745039413,0.1917979495,0.1066841415,0.0389848247,668.1140764,290.2665793
1045,4,3913,0.1816074189,0.1830880519,0.09455660618,0.05060056223,617.2527048,293.3680041
1045,5,4063,0.2397243416,0.09452253999,0.02630208333,0.02820512821,739.6317949,127.6565331
1045,6,3967,0.2796697626,0.0909308447,0.02919358698,0.03015075377,811.0356037,116.1497353
1047,0,2223,0.2194457065,0.1553839164,0.1085870059,0.0440845704,603.4858404,246.3862862
1047,1,2216,0.1990888383,0.1684164479,0.1175398633,0.0423690205,575.9744875,276.1193622
1047,2,2239,0.1850094877,0.1603394372,0.09844559585,0.03217259652,591.4065465,276.1585199
1047,3,2263,0.1908970393,0.1607468124,0.1087052585,0.03888643394,561.2748613,271.9284136
1047,4,2272,0.1873044256,0.1624119718,0.08758802817,0.04431768319,515.0444542,260.5813953
1047,5,2311,0.2404955147,0.09519688447,0.03101791175,0.02897238569,640.6858307,129.1426741
1047,6,2323,0.2858426966,0.09785301404,0.03715937242,0.03220478943,726.3757303,118.1541573
1049,0,5185,0.1852888267,0.181099325,0.1068466731,0.0391764941,678.59865,283.5705936
1049,1,5119,0.1799202885,0.1916321295,0.1144661535,0.03496776714,667.8012906,320.8073638
1049,2,5224,0.1705966783,0.1828978622,0.1079063454,0.02748557855,676.7849991,327.6483538
1049,3,5097,0.1749605055,0.1800947867,0.1069256425,0.02785952521,669.8745493,327.0814196
1049,4,5162,0.1774506005,0.1844095404,0.09887811371,0.04673259647,614.9984487,329.2543588
1049,5,5369,0.2237899275,0.09479896717,0.02895610476,0.02508328434,795.962571,148.7571242
1049,6,5285,0.2681173132,0.09285067873,0.02823529412,0.02660633484,855.4759285,135.5102506
1051,0,7886,0.1711779991,0.1879601559,0.1132007233,0.03404090085,737.2720916,299.4557168
1051,1,7870,0.153283767,0.2071597789,0.1405204461,0.03630731103,701.829692,353.2048285
1051,2,7864,0.141043028,0.2080366226,0.1352990132,0.03067411723,705.6817815,359.0162742
1051,3,7796,0.1484801247,0.2153668548,0.1377629554,0.03870331567,692.8270979,364.5681995
1051,4,7869,0.1406229636,0.1998016857,0.1153895031,0.04734754586,652.0043381,359.675054
1051,5,8160,0.2262813522,0.1031481955,0.0288248337,0.02380342974,798.2995957,156.7582334
1051,6,8020,0.2336592898,0.1036797315,0.02253386072,0.02085580726,901.1822821,144.1972569
1053,0,2442,0.1858261228,0.1565718995,0.09600329625,0.0325443787,663.0852905,233.9852255
1053,1,2432,0.1796214257,0.1744824673,0.1127668143,0.03929024081,609.4699836,289.5323404
1053,2,2465,0.1630831643,0.1733561059,0.1018255578,0.02406124681,631.5187874,302.9711968
